ViajeId;DISTAlt1;TIEMPOAlt1;CONG_A1;CFM A1;DISTAlt2;TIEMPOAlt2;CONG_A2;CFM A2;DISTAlt3;TIEMPOAlt3;CONG_A3;CFM A3;DISTEC;TIEMPOEC;CONGESTION;CFM EC;CHOICE
{34B59188-DEC5-E811-914C-74867AD5B714};10.3;22;2;;9.3;23;2;;8.3;21;2;;68.309.536.102.594;155.195.500.016.212;1;;3
{5226956F-88C6-E811-914C-74867AD5B714};3.7;15;3;;5.5;15;3;;4;18;3;;598.448.097.786.227;229.080.500.006.676;2;;4
{CD4C129D-8BC6-E811-914C-74867AD5B714};7.9;19;2;;8.5;24;3;;6.9;27;3;;53.734.486.710.031;282.178.333.322.207;2;;4
{0275F221-8CC6-E811-914C-74867AD5B714};4.6;16;2;;5.2;20;3;;5.1;28;3;;478.786.320.352.643;352.122.833.331.426;6;;4
{ABFFAF96-90C6-E811-914C-74867AD5B714};4.9;17;2;;4.8;19;3;;4.4;26;3;;510.665.851.379.018;447.381.000.002.225;6;;4
{0B4811D4-93C6-E811-914C-74867AD5B714};7.3;19;3;;8.1;20;3;;6.8;20;3;;660.283.796.996.291;205.518.833.359.083;4;;3
{375E5517-97C6-E811-914C-74867AD5B714};4.8;21;3;;6;28;3;;5.4;27;3;;522.862.784.078.864;444.528.833.309.809;2;;1
{F23B5284-97C6-E811-914C-74867AD5B714};6.4;14;3;;6.8;16;3;;7.8;16;3;;625.353.132.217.077;11.774.066.666.762;1;;4
{2D75DDDC-99C6-E811-914C-74867AD5B714};3.7;10;3;;4.1;14;3;;0;0;0;;363.471.267.080.803;157.786.666.671.435;2;;4
{214A69B7-9CC6-E811-914C-74867AD5B714};5.7;15;3;;4.3;16;3;;5.5;14;2;;414.609.453.488.178;15.668.666.668.733;2;;2
{2BA6331C-A0C6-E811-914C-74867AD5B714};7.1;20;3;;8.5;22;3;;7.3;25;3;;746.795.409.376.879;233.891.666.650.772;2;;3
{B4112742-29C7-E811-914C-74867AD5B714};10.1;23;3;;11;26;3;;10.9;30;3;;979.190.231.782.821;283.879.999.995.232;4;;1
{536715D9-2DC7-E811-914C-74867AD5B714};4.7;12;2;;5.3;13;2;;6.4;17;3;;423.554.152.460.858;1.795.643.333.594;3;;4
{2D4D562F-31C7-E811-914C-74867AD5B714};5.5;22;3;;6.7;22;3;;5.8;23;3;;550.862.162.060.594;263.142.333.348.592;2;;1
{E8118699-35C7-E811-914C-74867AD5B714};10.4;19;2;;11.2;20;1;;11.3;25;2;;103.703.256.088.937;162.635.999.997.457;1;;2
{E6296B70-3BC7-E811-914C-74867AD5B714};4.6;14;2;;5.7;18;2;;5.8;17;2;;433.302.796.029.511;13.019.883.330.663;2;;1
{7FD68364-DEC7-E811-914C-74867AD5B714};3.8;13;2;;5.6;13;1;;5.4;15;1;;849.798.763.347.679;155.828.333.338.102;1;;4
{EEAE2D90-E2C7-E811-914C-74867AD5B714};6.3;15;2;;6;17;2;;6.8;18;3;;653.285.073.898.882;167.752.333.323.161;1;;1
