"asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","logLike"
4.21560290736995,-0.52830224351293,4.29801331071466,0.0812032211120327,-0.27535667459284,0.121350581024758,-0.507825646997282,-1.33897518219051,-0.785566918105158,-3.91511624799635,0.234985269826649,0.265473763885569,0.0061181622295668,-0.616812861994938,2.55161698963277,1.20610281871936,-1.47133639588281,-0.856867518086204,3.20827592037243,1.81291224453733,-1.06979152186502,-1.04140645105409,3.34924317648951,1.57190011353652,-1.21688463833073,-0.463085029365994,2.79932882200105,1.53650102002277,-0.268112905736302,-293.568695934111
4.20406715311885,-0.603819901625932,4.2763637910612,0.0815730011635147,-0.276546036296024,0.129478665326453,-0.503322253211163,-1.33890570477728,-0.779850586864576,-3.97689429867856,0.233991727626986,0.279950194911983,0.0209830514091257,-0.623332816016268,2.61029038034888,1.1898423895018,-1.48015986720313,-0.858065625259413,3.27637684084548,1.81910787980809,-1.07063209652991,-1.04399700550593,3.41338812936434,1.57172638580539,-1.21911090545424,-0.466911989565816,2.84793928782971,1.50472715135521,-0.271804065218242,-293.555223322471
4.11646834857549,-1.0894912522984,4.16240119708701,0.0824171928685245,-0.27841073054613,0.136668513258237,-0.500012231891204,-1.33484026585459,-0.775913446678231,-4.36734007686347,0.2140323366532,0.309545083242447,0.0523497662280077,-0.637666140087222,2.99400750653359,1.07985620775865,-1.4912019633289,-0.875679402351666,3.661429353307,1.74529848261206,-1.08655179682094,-1.06302684845681,3.79243605787157,1.48714386199934,-1.23442303947828,-0.480994854746782,3.24380910868975,1.38642354831258,-0.285475319832117,-293.507350622814
3.9921487330761,-1.81007725339552,4.03652308276349,0.0823768128021623,-0.277881620841626,0.135770093103016,-0.500397805081277,-1.33866370835413,-0.775466479544459,-4.95759622623813,0.193723834419247,0.308194209836082,0.0502917739569745,-0.658491684908536,3.58255511643934,0.934935303895049,-1.50792278609603,-0.8904338709964,4.24245929385355,1.61441210215963,-1.09752178591012,-1.0756847336619,4.37683205602767,1.36163772896872,-1.24199995551344,-0.486828602517181,3.83291047378834,1.24561746708866,-0.28815276195542,-293.461925088635
3.92778268375645,-2.51198808324996,3.99042199544192,0.0816554411905972,-0.276761622148473,0.128314967704941,-0.502926030586579,-1.34622151873815,-0.779397358966207,-5.61167817413815,0.186041749233283,0.287168296848133,0.0279179509384518,-0.663212611307663,4.23276675704536,0.868534199816206,-1.51201810578757,-0.889767207090981,4.87661105188558,1.53664897585567,-1.09737881209214,-1.07220716493989,5.01709858439719,1.29476853799195,-1.23871793012065,-0.480071895080928,4.47419512021298,1.19074900472379,-0.283321515100996,-293.436409659983
3.93067786329686,-3.08059598160053,4.0074172804227,0.0810773281220037,-0.276779527480238,0.123931141091601,-0.505115312090891,-1.35339983068571,-0.781231475869976,-6.21013015734285,0.188943701581293,0.272564485350446,0.0126760451035345,-0.659795736875617,4.81454651489423,0.875344950540659,-1.51092473609173,-0.884555618187505,5.45104543094312,1.53203570181901,-1.09387469086489,-1.06546429894631,5.59529552145795,1.2968416805104,-1.23422459672614,-0.473228595018491,5.05054339665562,1.2050170243173,-0.278276358050933,-293.426082115495
3.94928355625113,-3.63093950905921,4.03005845789657,0.080882671460072,-0.277320845839773,0.122900655815514,-0.505385499974443,-1.35499728334696,-0.782086580004243,-6.80535660782269,0.194070538887484,0.26883451046321,0.00883323634544413,-0.658556259127294,5.38550572585702,0.893003193745226,-1.51088725979439,-0.883100746443773,6.0209662966305,1.54643441834745,-1.09329862742955,-1.06357235740461,6.16573382163078,1.31318635953275,-1.23361609248378,-0.472078538477729,5.61992665220382,1.22548595182245,-0.278006443766228,-293.420796985923
3.9649981217712,-4.27883927299832,4.04359864003542,0.0809565478253655,-0.277735382669542,0.123773353639068,-0.505422195107897,-1.35552020002994,-0.781603780404815,-7.49770211313143,0.196780202254888,0.271323532268138,0.0114334446063871,-0.659484113200254,6.04385757067377,0.904559300643545,-1.5124598845337,-0.884665135245512,6.68345580324307,1.56093626317379,-1.09467479972081,-1.06523279651189,6.82776681997175,1.32650565866316,-1.23538044779753,-0.474149924100619,6.28180181686709,1.23725682339271,-0.279393140500868,-293.417139999627
3.97070263587647,-4.96849460340643,4.04481509486692,0.0811537051344691,-0.277613333089463,0.12494825707734,-0.504775310487843,-1.35308492812767,-0.781637393770233,-8.22286199433088,0.196552712033934,0.275614512468,0.0157691510244512,-0.66197379196319,6.73385796635171,0.905791901948429,-1.51392593688328,-0.887541542612267,7.37640333420929,1.5667176749738,-1.0967012068835,-1.06845027278219,7.51961950623733,1.33044989558265,-1.23764893293128,-0.477437362509385,6.97393306430936,1.23767216585142,-0.281718848417939,-293.415083789174
3.96985221053013,-5.61784524520674,4.04116104309736,0.0812975864394531,-0.277250964353722,0.12552873749275,-0.504834120336927,-1.35274260507435,-0.781447359904114,-8.89951605334269,0.194793091800723,0.277700222832384,0.017824820882774,-0.663849850160793,7.3778026993793,0.903742324489225,-1.51484828370698,-0.889601236122025,8.02307212404084,1.56605298428589,-1.09770993827972,-1.07071489352164,8.16610429355876,1.32878135941767,-1.23877461933533,-0.479322776183202,7.62078654246108,1.23414609814481,-0.28227079342831,-293.414192840055
3.96796662234338,-6.23573030319637,4.038429244155,0.0813512502928865,-0.276937478408359,0.125509299816519,-0.504621528275678,-1.35152537600812,-0.781936446974777,-9.54285096622076,0.193855858757981,0.277994470921435,0.0180432323257513,-0.664896369691667,7.99323088459531,0.901499473943304,-1.51494869399327,-0.890457208432462,8.63809644975427,1.56383795001208,-1.09805442836218,-1.07163632630509,8.78096486097987,1.32656050912719,-1.23903441592767,-0.480079382760499,8.23571973497572,1.23167893773787,-0.282634492035242,-293.413777706195
